,TSNE_1,TSNE_2,cluster_assignment
116964,-5.3313823,14.787454,53 Unresolved                  
81241,-20.152508,11.76439,53 Unresolved                  
88511,0.7314787,12.663808,44 Migrating Int Lhx6          
6597,-37.746883,-36.012913,13 CTX PyrL5 Fezf2             
98113,39.286037,31.572172,28 CB Granule                  
54008,-50.090084,-19.7843,10 CTX PyrL4 Rorb              
35909,32.96606,4.612392,28 CB Granule                  
34547,17.974117,-1.008232,48 Migrating Int Pbx3          
148821,-55.553173,-18.372467,17 CTX PyrL6                   
160013,-30.85418,-3.8848443,53 Unresolved                  
81713,-10.876134,30.02587,9 CTX PyrL2/L3/L4 Mef2c        
98189,-49.587814,-16.385555,53 Unresolved                  
3728,35.80406,-0.8383069,29 CB Int Precursor            
34331,33.84738,21.104565,28 CB Granule                  
100505,-15.488348,33.60359,53 Unresolved                  
106062,35.180614,8.614365,25 CB Granule Precursor        
159525,42.464252,-17.751602,69 Astro Prdm16                
127639,36.5357,3.4882295,25 CB Granule Precursor        
93997,3.390075,28.87016,53 Unresolved                  
91044,-0.29594216,14.63003,44 Migrating Int Lhx6          
132049,-16.988136,2.9497042,53 Unresolved                  
129802,-12.315237,8.623999,53 Unresolved                  
139850,63.096756,17.489323,61 OPC                         
42504,41.166393,37.583828,53 Unresolved                  
67108,41.507187,-24.72566,72 Ependyma                    
141063,-34.786797,15.019169,53 Unresolved                  
42446,-26.209417,-34.587826,9 CTX PyrL2/L3/L4 Mef2c        
145524,-13.644326,-31.477592,39 HIPP Granule Nrp2           
147639,-51.044075,-20.540184,53 Unresolved                  
59712,15.912174,-4.5179915,48 Migrating Int Pbx3          
25858,-34.172283,1.9894711,53 Unresolved                  
153615,18.926712,-3.7471583,48 Migrating Int Pbx3          
91693,-47.894672,-30.142807,18 CLAU Pyr                    
154030,-10.564183,2.921156,53 Unresolved                  
25290,-49.408775,-15.868279,53 Unresolved                  
25901,-18.217476,-10.634204,17 CTX PyrL6                   
143684,-39.190807,-36.841007,15 CTX PyrL5/L6 Sulf1          
160058,-40.191475,-6.9492106,53 Unresolved                  
57084,-22.575533,22.767723,19 MTt Glut                    
115123,-27.336094,17.853243,53 Unresolved                  
131166,60.13138,11.13138,61 OPC                         
63371,-39.27769,38.10348,53 Unresolved                  
123314,-23.215153,45.0076,19 MTt Glut                    
149670,55.25162,-27.1502,69 Astro Prdm16                
115896,-35.247528,-21.770332,7 CTX PyrL2/L3 Met             
100646,-15.211472,-16.798306,1 OB Mitral/Tufted Eomes       
25168,-3.8935223,18.270483,53 Unresolved                  
126791,50.568962,-22.846264,68 Astro Slc7a10               
70121,45.31085,-25.700516,72 Ependyma                    
30926,39.82353,33.310207,28 CB Granule                  
22211,71.17867,9.798107,60 Oligo COP2                  
61286,17.002876,-12.708339,48 Migrating Int Pbx3          
39606,-6.297917,-18.934002,4 Medium Spiny Neurons         
28118,-17.068853,13.546648,53 Unresolved                  
93472,35.45761,38.489002,28 CB Granule                  
68753,43.950584,-19.932503,69 Astro Prdm16                
131076,-51.948036,-25.554558,7 CTX PyrL2/L3 Met             
97442,-25.261364,21.294748,53 Unresolved                  
47396,37.768494,36.262024,28 CB Granule                  
137387,14.073132,-10.895221,53 Unresolved                  
139049,-19.274364,24.46191,48 Migrating Int Pbx3          
124281,34.907974,22.449646,28 CB Granule                  
86263,-13.908243,-38.75861,53 Unresolved                  
29365,52.004196,-24.172247,69 Astro Prdm16                
97459,-46.435688,23.930672,20 THAL Glut                   
104883,-29.980314,-37.299118,14 CTX PyrL6a                  
71277,13.539747,-23.495205,53 Unresolved                  
14335,-2.222857,13.384452,44 Migrating Int Lhx6          
10086,-45.4396,-33.15379,17 CTX PyrL6                   
90599,-36.26527,-41.84394,15 CTX PyrL5/L6 Sulf1          
32787,31.549818,-48.348537,63 Microglia                   
41521,-21.010088,14.158982,2 OB Mitral/Tufted Ms4a15      
102297,-23.232069,-37.850998,9 CTX PyrL2/L3/L4 Mef2c        
85181,-41.93221,18.256042,53 Unresolved                  
117546,-24.395662,4.3712854,53 Unresolved                  
153029,12.404123,-6.7641,46 Migrating Int Cpa6          
16155,-22.932861,-13.162069,38 HIPP Pyr Grik4              
137698,-28.876822,40.737816,53 Unresolved                  
31856,-17.547977,-15.502772,53 Unresolved                  
29415,-18.552326,-38.911816,8 CTX PyrL4 Wnt5b              
11783,29.213263,-48.05524,64 Endothelia                  
112763,-10.58891,3.613665,44 Migrating Int Lhx6          
96895,37.925526,25.274723,28 CB Granule                  
63950,-35.640896,40.791157,53 Unresolved                  
114326,-36.514896,6.4603105,53 Unresolved                  
121187,57.2533,-21.894913,68 Astro Slc7a10               
104145,-15.059674,32.68538,53 Unresolved                  
56278,-28.729456,8.312749,53 Unresolved                  
46038,-11.97569,3.0504801,53 Unresolved                  
137120,54.0195,-29.182997,68 Astro Slc7a10               
21486,33.98418,35.11469,28 CB Granule                  
82206,0.9636868,15.881302,44 Migrating Int Lhx6          
161244,38.41911,40.606213,28 CB Granule                  
79980,-23.898853,-11.219156,53 Unresolved                  
26936,-39.221954,36.502396,53 Unresolved                  
10232,2.393738,-22.359713,4 Medium Spiny Neurons         
37895,34.172615,23.914417,28 CB Granule                  
148983,19.185638,-3.6503072,48 Migrating Int Pbx3          
50515,-28.372612,5.3723073,53 Unresolved                  
106347,-30.827505,-31.686682,17 CTX PyrL6                   
129306,-37.000565,-20.108948,11 CTX PyrL4/L5                
123507,-19.089577,-32.062428,37 HIPP Pyr Precursor          
40417,-18.654814,-15.035683,53 Unresolved                  
117391,-35.674213,-43.26696,17 CTX PyrL6                   
51276,-22.693548,47.596134,53 Unresolved                  
96123,55.24691,-23.405205,69 Astro Prdm16                
112074,37.543915,11.422812,25 CB Granule Precursor        
137722,-13.494136,9.537424,53 Unresolved                  
76076,43.0219,-15.690698,69 Astro Prdm16                
3884,-46.027695,-21.564352,34 SUB Pyr                     
23285,26.651247,29.024786,28 CB Granule                  
33768,-21.744535,10.129327,53 Unresolved                  
63633,-39.825863,-37.613064,15 CTX PyrL5/L6 Sulf1          
55214,37.327763,4.2394795,25 CB Granule Precursor        
109907,-50.84309,-21.702389,53 Unresolved                  
95662,11.221487,-18.21551,4 Medium Spiny Neurons         
13458,-24.189222,50.544743,53 Unresolved                  
53694,40.408276,37.55596,28 CB Granule                  
117113,-36.08072,-19.920519,11 CTX PyrL4/L5                
75289,14.136211,-1.3643252,48 Migrating Int Pbx3          
107709,-20.232855,41.671474,53 Unresolved                  
33780,45.56958,-9.001696,53 Unresolved                  
62048,12.665575,-33.244328,4 Medium Spiny Neurons         
59648,6.552328,-32.252182,4 Medium Spiny Neurons         
91559,-48.448128,-26.402302,7 CTX PyrL2/L3 Met             
140294,25.75655,24.862127,28 CB Granule                  
27165,52.753975,-25.127546,71 Bergmann Glia               
133923,-14.976016,-3.8791096,53 Unresolved                  
38131,-14.407747,49.604362,53 Unresolved                  
89682,-57.515068,-30.06337,53 Unresolved                  
50295,23.745665,14.852026,26 CB Int Stellate/Basket      
92266,-36.56827,32.78895,53 Unresolved                  
66870,-4.5715384,-4.7655025,11 CTX PyrL4/L5                
109360,-41.26627,-2.6164305,14 CTX PyrL6a                  
102780,-8.472018,-5.0378804,53 Unresolved                  
153088,-38.712887,6.4606285,20 THAL Glut                   
99406,-17.473524,26.435076,53 Unresolved                  
150107,-28.1564,39.064217,30 MD Glyc Int                 
31350,-46.864212,12.999574,20 THAL Glut                   
58137,51.485157,-24.257044,68 Astro Slc7a10               
67500,36.175564,-1.9973446,24 CB Int Progenitor           
149873,-49.721096,-21.505209,53 Unresolved                  
71401,35.72209,14.609076,25 CB Granule Precursor        
62970,-34.557396,23.947283,53 Unresolved                  
2023,-29.150492,12.170592,53 Unresolved                  
73145,45.792118,-8.244262,69 Astro Prdm16                
122563,47.265053,-24.914062,69 Astro Prdm16                
131994,63.909523,18.51878,61 OPC                         
4263,-9.335834,20.222809,53 Unresolved                  
10464,-12.82559,-6.0779014,53 Unresolved                  
14928,-27.25285,-22.887804,40 HIPP Granule/PyrCA3         
28773,-17.500122,-1.8354695,53 Unresolved                  
125806,-46.424736,-25.819147,4 Medium Spiny Neurons         
159540,-3.0252078,30.684982,53 Unresolved                  
5345,-28.617855,32.4383,53 Unresolved                  
69038,-20.10426,8.098057,53 Unresolved                  
105987,-24.54639,-22.017498,40 HIPP Granule/PyrCA3         
10960,38.5601,9.834869,25 CB Granule Precursor        
133291,-13.228494,-38.18962,9 CTX PyrL2/L3/L4 Mef2c        
54925,69.77199,13.453217,61 OPC                         
12447,9.585193,-24.675898,4 Medium Spiny Neurons         
63628,5.7122574,4.3499637,53 Unresolved                  
25258,-19.326754,29.390749,19 MTt Glut                    
142015,-33.644268,-1.5420557,53 Unresolved                  
10460,-30.604307,28.135292,53 Unresolved                  
72517,36.065193,38.771076,28 CB Granule                  
57306,-7.3791914,-18.351385,4 Medium Spiny Neurons         
21960,38.838707,20.726936,28 CB Granule                  
95227,56.522934,-25.68547,69 Astro Prdm16                
137131,28.493832,22.573982,25 CB Granule Precursor        
62322,42.96841,-30.765755,72 Ependyma                    
72650,-29.873081,31.54005,53 Unresolved                  
150044,34.497414,26.418158,28 CB Granule                  
28731,-17.768677,48.34703,53 Unresolved                  
157805,61.8488,-16.529915,68 Astro Slc7a10               
110520,-39.442238,-41.969242,17 CTX PyrL6                   
12383,-12.607692,27.365757,17 CTX PyrL6                   
82365,-38.303608,11.019904,53 Unresolved                  
127265,17.536377,1.3053662,46 Migrating Int Cpa6          
146012,-36.813187,3.7613,53 Unresolved                  
12305,-12.938413,45.08057,53 Unresolved                  
81929,-15.256651,-6.545163,53 Unresolved                  
102271,59.666775,-24.547697,68 Astro Slc7a10               
18702,47.135048,-8.965447,71 Bergmann Glia               
128387,-38.33532,-23.849642,11 CTX PyrL4/L5                
155776,17.560804,11.897609,28 CB Granule                  
131600,-19.93459,-36.344646,9 CTX PyrL2/L3/L4 Mef2c        
97649,86.350334,10.810742,57 Oligo MOL                   
107846,73.09978,10.61038,60 Oligo COP2                  
127444,-18.12999,27.442638,53 Unresolved                  
141876,-44.60268,14.046676,20 THAL Glut                   
75201,35.655594,29.909756,28 CB Granule                  
60942,-40.779484,23.476185,53 Unresolved                  
45613,89.63036,13.313783,56 Oligo MFOL1                 
21800,-39.71914,-42.3544,17 CTX PyrL6                   
22494,49.45641,-20.717937,69 Astro Prdm16                
55773,-5.603106,6.452204,44 Migrating Int Lhx6          
42912,-18.863857,25.873093,53 Unresolved                  
98033,-14.209704,27.472132,53 Unresolved                  
162151,9.847875,2.1998885,46 Migrating Int Cpa6          
159580,-17.911238,50.928093,53 Unresolved                  
134899,-26.052795,19.643278,53 Unresolved                  
102653,-25.979359,44.350445,53 Unresolved                  
67162,47.748734,-20.144135,69 Astro Prdm16                
83789,56.578457,-28.209698,68 Astro Slc7a10               
139809,-26.4971,-2.070808,20 THAL Glut                   
100658,20.196987,-5.796959,53 Unresolved                  
24149,67.86974,11.269944,59 Oligo COP1                  
129413,37.54018,24.376644,28 CB Granule                  
112183,-51.474434,-26.534922,7 CTX PyrL2/L3 Met             
77688,6.880604,14.30201,53 Unresolved                  
144683,-26.455297,22.342503,20 THAL Glut                   
81778,-33.07933,-40.627632,17 CTX PyrL6                   
70278,54.150978,-22.488247,68 Astro Slc7a10               
147271,32.259212,19.9917,28 CB Granule                  
114746,7.9371524,-31.331318,4 Medium Spiny Neurons         
22054,-8.337497,25.6192,53 Unresolved                  
105823,35.02835,17.834988,25 CB Granule Precursor        
132335,48.292747,-27.53184,69 Astro Prdm16                
87458,-8.758344,-21.224321,53 Unresolved                  
127009,-34.549335,-41.525333,17 CTX PyrL6                   
3894,68.39273,11.886891,61 OPC                         
2155,-11.344199,8.053234,44 Migrating Int Lhx6          
9729,-21.968567,-33.01815,6 CTX PyrL2/L3/L4 Ntf3         
23794,-29.10175,-10.722128,53 Unresolved                  
51047,-18.688946,-39.90046,9 CTX PyrL2/L3/L4 Mef2c        
73642,42.36392,-7.9290433,69 Astro Prdm16                
60395,63.234665,11.901978,61 OPC                         
123788,49.05283,-17.885704,69 Astro Prdm16                
29376,88.06542,12.840536,56 Oligo MFOL1                 
64919,-20.457607,7.8497252,53 Unresolved                  
99374,-25.653362,-24.4729,40 HIPP Granule/PyrCA3         
74069,57.08341,-25.39361,69 Astro Prdm16                
159169,61.87809,15.217669,61 OPC                         
115997,56.969456,-29.090126,68 Astro Slc7a10               
24700,-38.476353,12.121341,53 Unresolved                  
48376,60.927162,-24.750727,68 Astro Slc7a10               
132173,43.126137,-26.028261,73 OEC                         
22382,-11.889804,5.885663,53 Unresolved                  
107701,-33.21653,-17.071192,11 CTX PyrL4/L5                
114516,89.543495,8.469778,57 Oligo MOL                   
66885,-23.090483,29.711372,19 MTt Glut                    
74186,-4.6663227,25.201916,53 Unresolved                  
71258,-15.672403,26.512356,53 Unresolved                  
11936,65.12643,9.662515,61 OPC                         
150825,40.224064,27.299335,28 CB Granule                  
92436,-51.07978,-33.957253,9 CTX PyrL2/L3/L4 Mef2c        
154638,-33.600433,9.896994,53 Unresolved                  
157442,63.890167,14.7371645,61 OPC                         
120518,44.229107,-8.726609,71 Bergmann Glia               
68710,-43.76039,18.498594,53 Unresolved                  
22056,-1.650809,13.89852,44 Migrating Int Lhx6          
83539,59.50129,-26.416876,68 Astro Slc7a10               
16631,-43.553463,19.727602,53 Unresolved                  
70929,-45.789867,12.472926,20 THAL Glut                   
106909,11.3557825,7.899281,53 Unresolved                  
94042,45.106007,-12.763994,71 Bergmann Glia               
134114,-53.2097,-10.944817,53 Unresolved                  
11886,62.817448,9.384088,61 OPC                         
14393,18.203928,-7.755103,49 Migrating Int Lgr6          
90395,-5.6493044,14.055079,53 Unresolved                  
9780,-52.904907,-11.075228,53 Unresolved                  
92232,16.076748,-12.595492,4 Medium Spiny Neurons         
66886,12.885212,-9.396721,53 Unresolved                  
51678,-41.224834,20.905048,53 Unresolved                  
96644,-38.204597,34.179485,53 Unresolved                  
74427,-16.656603,13.246789,53 Unresolved                  
89662,-18.16734,-18.46572,53 Unresolved                  
60849,-14.326715,7.635117,53 Unresolved                  
147572,-50.35188,-33.003265,10 CTX PyrL4 Rorb              
108540,50.8145,-19.893194,69 Astro Prdm16                
23427,-15.2839,-5.9478917,53 Unresolved                  
23651,14.843678,-5.7532806,47 Migrating Int Foxp2         
135553,-37.374107,37.476196,53 Unresolved                  
98984,-4.2714567,5.462913,53 Unresolved                  
99966,-16.640501,28.792183,53 Unresolved                  
32484,-3.325907,6.77005,44 Migrating Int Lhx6          
116230,-14.894848,-27.66591,53 Unresolved                  
66038,-12.136531,-41.1321,61 OPC                         
150750,27.225157,-49.821743,68 Astro Slc7a10               
134661,-22.630743,-8.441536,53 Unresolved                  
82510,63.94039,7.3010807,28 CB Granule                  
45663,-27.447233,-18.10536,9 CTX PyrL2/L3/L4 Mef2c        
140067,26.117287,13.270995,28 CB Granule                  
88914,9.332139,0.71011263,53 Unresolved                  
117273,30.467491,33.897247,28 CB Granule                  
121533,-22.447878,-8.158932,53 Unresolved                  
46143,37.301468,11.528508,25 CB Granule Precursor        
156450,-45.857727,-17.881939,53 Unresolved                  
121357,31.912655,-44.41846,67 VLMC Slc47a1                
21444,-53.23477,-21.024275,53 Unresolved                  
84687,66.54349,6.8053803,61 OPC                         
156861,-32.75384,-42.36467,17 CTX PyrL6                   
12400,13.461171,-28.407522,4 Medium Spiny Neurons         
77679,-40.160263,-14.306888,53 Unresolved                  
152836,-8.118941,25.487974,53 Unresolved                  
96064,-8.35073,-14.83291,53 Unresolved                  
44936,-32.45403,-34.814796,14 CTX PyrL6a                  
18411,-22.90808,4.247777,53 Unresolved                  
28164,65.83516,11.987931,61 OPC                         
99961,35.0017,33.73835,28 CB Granule                  
139455,37.329514,13.172892,25 CB Granule Precursor        
31118,35.51313,20.160372,25 CB Granule Precursor        
1851,-28.680452,38.320747,30 MD Glyc Int                 
22165,-11.563128,48.0106,53 Unresolved                  
58328,-38.22759,-41.221413,14 CTX PyrL6a                  
120336,-32.11302,-9.605548,53 Unresolved                  
6484,34.422916,19.389193,28 CB Granule                  
148237,56.105873,-27.10313,68 Astro Slc7a10               
3480,32.076504,26.59825,28 CB Granule                  
32435,35.537643,25.515697,28 CB Granule                  
16523,-29.659039,11.450202,53 Unresolved                  
116936,-11.493029,17.364592,53 Unresolved                  
64732,63.09494,-24.248753,68 Astro Slc7a10               
46118,-16.628845,52.104393,53 Unresolved                  
54558,-51.639473,-34.216152,53 Unresolved                  
124367,-31.222815,16.085442,2 OB Mitral/Tufted Ms4a15      
68764,-31.477999,-31.419584,16 CTX PyrL5/L6 Npr3           
1336,-35.229557,-1.0983208,53 Unresolved                  
38417,-33.19097,-14.998891,38 HIPP Pyr Grik4              
88409,-30.694664,32.57714,19 MTt Glut                    
99957,43.93997,-25.414537,69 Astro Prdm16                
109951,-19.89375,23.264868,53 Unresolved                  
76153,-7.55439,11.315974,53 Unresolved                  
46415,-33.835266,7.412108,53 Unresolved                  
114043,-13.786628,-15.637207,9 CTX PyrL2/L3/L4 Mef2c        
140088,-10.324908,25.296915,53 Unresolved                  
63776,12.386972,0.15007192,46 Migrating Int Cpa6          
114185,-28.208424,29.178284,53 Unresolved                  
125688,48.00647,-29.74211,68 Astro Slc7a10               
146288,-16.41093,27.72544,53 Unresolved                  
162333,43.009426,-22.97913,69 Astro Prdm16                
37244,11.12086,-22.607494,4 Medium Spiny Neurons         
6273,-29.59189,-3.8002982,20 THAL Glut                   
112406,-22.9656,-17.567543,7 CTX PyrL2/L3 Met             
1230,-38.39572,9.280917,21 THAL Int Six3               
76740,-25.971325,45.306656,53 Unresolved                  
16530,-37.18139,35.682976,53 Unresolved                  
31826,-24.561165,-28.180813,9 CTX PyrL2/L3/L4 Mef2c        
29858,-28.48082,-13.050373,38 HIPP Pyr Grik4              
118041,-34.27648,28.801905,53 Unresolved                  
142401,18.700068,12.061154,53 Unresolved                  
147659,-25.597532,-27.703102,17 CTX PyrL6                   
40117,63.933224,-19.789572,69 Astro Prdm16                
131329,-3.309121,20.687834,44 Migrating Int Lhx6          
150550,41.753563,-10.397782,69 Astro Prdm16                
74418,-53.25676,-10.744989,53 Unresolved                  
53063,13.24857,-18.42725,4 Medium Spiny Neurons         
37147,44.929585,-9.703433,71 Bergmann Glia               
43425,11.488844,-30.901785,4 Medium Spiny Neurons         
132705,-24.52161,-11.692793,53 Unresolved                  
54199,-20.20113,38.994255,53 Unresolved                  
16133,-7.245836,3.9262345,53 Unresolved                  
80888,-4.9807515,9.685408,44 Migrating Int Lhx6          
52971,-25.97627,40.758797,53 Unresolved                  
3988,-14.269836,21.987774,53 Unresolved                  
128035,-4.2732224,-22.79669,53 Unresolved                  
89539,-28.630182,29.547075,53 Unresolved                  
16929,54.260593,-24.503366,69 Astro Prdm16                
60365,38.202213,38.77924,28 CB Granule                  
11855,-4.708295,7.455026,53 Unresolved                  
161021,-32.42851,-28.040407,6 CTX PyrL2/L3/L4 Ntf3         
39619,-3.856387,-1.5521547,45 Migrating Int Trdn          
135076,-20.96036,-1.437038,20 THAL Glut                   
160625,-41.85972,-10.479073,53 Unresolved                  
55796,-43.245647,-22.819044,11 CTX PyrL4/L5                
83000,7.4068584,4.871878,53 Unresolved                  
18808,35.386173,31.727537,28 CB Granule                  
78175,33.268166,20.002459,28 CB Granule                  
71419,-0.9291789,11.779497,44 Migrating Int Lhx6          
128152,-45.627922,12.325269,20 THAL Glut                   
125612,-36.598713,35.191742,53 Unresolved                  
72560,13.505893,-8.2852745,9 CTX PyrL2/L3/L4 Mef2c        
59291,38.070362,33.18324,28 CB Granule                  
122551,-32.240288,41.065216,53 Unresolved                  
60436,-34.549255,-14.634803,35 HIPP Pyr Crym               
104260,-6.9691834,8.120035,53 Unresolved                  
136462,-44.102108,8.725441,20 THAL Glut                   
118765,52.26548,-15.516731,69 Astro Prdm16                
128195,-40.724327,-31.794237,9 CTX PyrL2/L3/L4 Mef2c        
51769,-19.493795,17.051603,53 Unresolved                  
6233,-16.89226,41.021538,53 Unresolved                  
44101,-19.19566,43.54485,19 MTt Glut                    
76376,-30.171824,-19.265692,9 CTX PyrL2/L3/L4 Mef2c        
151645,-18.541325,34.4045,53 Unresolved                  
122111,22.247593,-7.026812,48 Migrating Int Pbx3          
144562,-29.025581,-4.6900773,53 Unresolved                  
92968,-0.80540526,13.319092,44 Migrating Int Lhx6          
3918,-42.597157,-31.478037,6 CTX PyrL2/L3/L4 Ntf3         
151912,-11.46088,5.434137,44 Migrating Int Lhx6          
112198,-40.523743,-11.128538,53 Unresolved                  
40214,26.412357,29.145947,53 Unresolved                  
11389,-44.870205,16.012787,20 THAL Glut                   
134374,27.096008,26.671265,28 CB Granule                  
85937,-34.138393,-10.661734,53 Unresolved                  
139092,50.198284,-26.655592,68 Astro Slc7a10               
3640,-31.974228,-43.930233,17 CTX PyrL6                   
156401,-4.389525,-19.733765,53 Unresolved                  
148432,67.84007,15.143931,60 Oligo COP2                  
76664,77.7322,12.032522,58 Oligo NFOL1                 
75452,59.12391,-16.559921,68 Astro Slc7a10               
72067,-10.172919,27.891268,53 Unresolved                  
43357,49.66565,-18.749168,69 Astro Prdm16                
58156,56.68447,-27.4649,68 Astro Slc7a10               
113128,-37.088013,-27.223116,9 CTX PyrL2/L3/L4 Mef2c        
126521,-14.895379,39.49167,53 Unresolved                  
138488,-3.2454715,12.016046,44 Migrating Int Lhx6          
15617,6.1857305,-32.786438,4 Medium Spiny Neurons         
80318,-53.916912,-24.131464,53 Unresolved                  
86327,-21.948055,-1.6694067,53 Unresolved                  
4929,64.188675,11.27209,61 OPC                         
142900,-37.197437,33.50594,53 Unresolved                  
11788,22.089354,-7.2611966,36 HIPP Granule Mki67          
3955,-34.810287,-34.22139,16 CTX PyrL5/L6 Npr3           
148803,44.770836,-11.254303,69 Astro Prdm16                
79630,14.234318,-11.323286,48 Migrating Int Pbx3          
59797,-14.3270855,37.38636,53 Unresolved                  
18873,74.13729,11.820347,60 Oligo COP2                  
158117,-32.807945,-5.209373,53 Unresolved                  
132340,-24.12703,28.424477,53 Unresolved                  
32053,50.366875,-14.022127,69 Astro Prdm16                
152273,32.152927,-48.25198,63 Microglia                   
161447,-2.199244,-22.617838,53 Unresolved                  
36873,4.109644,16.547178,53 Unresolved                  
83406,35.370663,28.478224,28 CB Granule                  
97342,-23.889212,-23.867256,53 Unresolved                  
24242,11.80948,5.2221913,46 Migrating Int Cpa6          
133088,-4.734433,6.3126903,44 Migrating Int Lhx6          
111652,-10.355284,28.45874,53 Unresolved                  
83960,-24.031591,37.381874,53 Unresolved                  
40223,-33.193317,-0.30532596,53 Unresolved                  
154103,63.30605,15.400126,61 OPC                         
23748,41.966938,8.315779,25 CB Granule Precursor        
51113,7.719022,2.803936,53 Unresolved                  
155254,36.83476,25.84422,28 CB Granule                  
130476,77.20881,9.974653,56 Oligo MFOL1                 
29423,35.042492,41.022877,28 CB Granule                  
148082,-25.773573,-2.4828997,53 Unresolved                  
8262,31.083036,-43.608982,67 VLMC Slc47a1                
69546,-40.87883,34.615444,53 Unresolved                  
20779,-6.7036395,28.147697,53 Unresolved                  
151312,-21.170473,35.265232,53 Unresolved                  
132500,-21.47778,10.251751,53 Unresolved                  
151486,-23.420132,48.21758,53 Unresolved                  
140850,66.81736,8.682499,61 OPC                         
10583,10.079737,8.247349,46 Migrating Int Cpa6          
155035,10.355398,-28.601664,4 Medium Spiny Neurons         
14266,-17.952988,-1.473145,53 Unresolved                  
8454,-21.565672,37.524208,53 Unresolved                  
76261,-19.564928,24.782272,53 Unresolved                  
89452,8.332929,-20.139338,4 Medium Spiny Neurons         
58375,-26.095348,7.5619965,53 Unresolved                  
99027,-27.278873,-24.165976,40 HIPP Granule/PyrCA3         
162536,-11.986785,-41.380188,53 Unresolved                  
50539,32.919052,-47.55295,63 Microglia                   
45965,90.34572,11.492625,57 Oligo MOL                   
85042,-24.84225,-1.2346661,53 Unresolved                  
104100,-3.4341314,-24.143131,53 Unresolved                  
89648,-44.713062,11.83312,20 THAL Glut                   
62893,-46.225063,13.718365,20 THAL Glut                   
86527,38.98025,24.744669,28 CB Granule                  
14951,33.1864,-45.618187,63 Microglia                   
62675,51.48583,-23.303074,69 Astro Prdm16                
9773,-38.188095,-28.265097,14 CTX PyrL6a                  
147184,-22.105627,-29.380068,37 HIPP Pyr Precursor          
95424,-22.286922,56.116333,53 Unresolved                  
113446,8.690083,-7.6704326,53 Unresolved                  
25719,-17.45713,32.380787,53 Unresolved                  
144793,-37.970867,-20.77933,11 CTX PyrL4/L5                
113637,-22.833807,42.077477,53 Unresolved                  
22618,13.738389,6.753001,49 Migrating Int Lgr6          
25068,-33.954212,21.479227,53 Unresolved                  
14217,-36.51794,-7.369975,53 Unresolved                  
112261,-28.856482,-34.330116,9 CTX PyrL2/L3/L4 Mef2c        
80773,-4.1959686,6.9744015,44 Migrating Int Lhx6          
45142,-0.37403983,23.250244,53 Unresolved                  
