,TSNE_1,TSNE_2,cluster_assignment
41874,-20.82978,16.081146,53 Unresolved                  
106345,48.890255,-2.8050027,28 CB Granule                  
155840,35.47409,54.944244,68 Astro Slc7a10               
55266,-1.8088622,-24.690134,5 CTX PyrL2/L3 Pappa2          
134368,-9.138158,-27.906288,9 CTX PyrL2/L3/L4 Mef2c        
5513,-16.796322,-47.295902,11 CTX PyrL4/L5                
93084,-14.113153,-35.685966,9 CTX PyrL2/L3/L4 Mef2c        
127052,-27.422901,-24.519182,53 Unresolved                  
116964,5.135507,-3.3372152,53 Unresolved                  
81241,-12.72726,-23.378542,53 Unresolved                  
88511,6.690572,-0.101619855,44 Migrating Int Lhx6          
6597,-7.196017,-42.57096,13 CTX PyrL5 Fezf2             
98113,54.433792,1.10227,28 CB Granule                  
54008,-18.899748,-49.844086,10 CTX PyrL4 Rorb              
35909,22.619009,14.183488,28 CB Granule                  
34547,21.798084,-1.7229335,48 Migrating Int Pbx3          
148821,-19.024256,-43.16954,17 CTX PyrL6                   
160013,-20.183762,-37.294353,53 Unresolved                  
81713,-5.6315446,-32.465794,9 CTX PyrL2/L3/L4 Mef2c        
98189,-28.256018,-46.351112,53 Unresolved                  
3728,32.65504,23.654974,29 CB Int Precursor            
34331,41.549084,15.0714855,28 CB Granule                  
100505,-22.841274,19.377703,53 Unresolved                  
106062,32.97833,19.073647,25 CB Granule Precursor        
159525,37.49391,56.159565,69 Astro Prdm16                
127639,37.79558,23.477554,25 CB Granule Precursor        
93997,-25.316309,7.5843744,53 Unresolved                  
91044,7.4469256,-0.08415963,44 Migrating Int Lhx6          
132049,-5.536648,0.81709784,53 Unresolved                  
129802,-0.9300647,-2.1252708,53 Unresolved                  
139850,-2.6721158,30.948126,61 OPC                         
42504,57.303146,-1.5936507,53 Unresolved                  
67108,17.745222,46.44278,72 Ependyma                    
141063,-38.268246,-11.450229,53 Unresolved                  
42446,8.676245,-39.396637,9 CTX PyrL2/L3/L4 Mef2c        
145524,8.42719,-25.324503,39 HIPP Granule Nrp2           
147639,-22.64901,-43.077892,53 Unresolved                  
59712,3.2551084,4.4492574,48 Migrating Int Pbx3          
25858,-26.09228,-5.639739,53 Unresolved                  
153615,13.765182,-0.91118366,48 Migrating Int Pbx3          
91693,-16.004993,-49.767605,18 CLAU Pyr                    
154030,-12.762695,-23.198204,53 Unresolved                  
25290,-26.403645,-42.40771,53 Unresolved                  
25901,-9.640633,-52.69929,17 CTX PyrL6                   
143684,-12.486771,-47.569145,15 CTX PyrL5/L6 Sulf1          
160058,-10.937748,-38.534813,53 Unresolved                  
57084,-28.512205,-0.9818712,19 MTt Glut                    
115123,-38.9184,-4.1985674,53 Unresolved                  
131166,3.5318112,34.30662,61 OPC                         
63371,-47.338367,9.152222,53 Unresolved                  
123314,-34.09324,1.5400381,19 MTt Glut                    
149670,33.86312,57.663925,69 Astro Prdm16                
115896,-4.421248,-35.733387,7 CTX PyrL2/L3 Met             
100646,6.1809626,-10.628147,1 OB Mitral/Tufted Eomes       
25168,9.197416,-10.815168,53 Unresolved                  
126791,24.649973,42.95554,68 Astro Slc7a10               
70121,16.155014,52.680946,72 Ependyma                    
30926,47.459183,-2.8291175,28 CB Granule                  
22211,-4.626549,41.162563,60 Oligo COP2                  
61286,13.299315,-6.757482,48 Migrating Int Pbx3          
39606,-14.137413,-12.128502,4 Medium Spiny Neurons         
28118,-27.772654,7.0926733,53 Unresolved                  
93472,51.77507,-4.4591403,28 CB Granule                  
68753,23.059784,43.811863,69 Astro Prdm16                
131076,-28.16324,-49.704136,7 CTX PyrL2/L3 Met             
97442,-22.905556,3.8760386,53 Unresolved                  
47396,52.42766,-2.673343,28 CB Granule                  
137387,12.096994,-11.277805,53 Unresolved                  
139049,-24.810396,0.6845077,48 Migrating Int Pbx3          
124281,40.445244,6.2974195,28 CB Granule                  
86263,2.445516,-43.7735,53 Unresolved                  
29365,26.791868,51.75078,69 Astro Prdm16                
97459,-32.303722,-8.689617,20 THAL Glut                   
104883,-4.924226,-41.203457,14 CTX PyrL6a                  
71277,19.400763,-21.764503,53 Unresolved                  
14335,7.158089,1.3543141,44 Migrating Int Lhx6          
10086,-13.713399,-49.352043,17 CTX PyrL6                   
90599,-9.929935,-46.91599,15 CTX PyrL5/L6 Sulf1          
32787,5.410854,55.99218,63 Microglia                   
41521,-13.01152,-9.011799,2 OB Mitral/Tufted Ms4a15      
102297,6.528793,-38.794147,9 CTX PyrL2/L3/L4 Mef2c        
85181,-45.459312,5.0450215,53 Unresolved                  
117546,-7.354571,-40.152134,53 Unresolved                  
153029,10.673595,-7.8694882,46 Migrating Int Cpa6          
16155,-34.363003,-38.336315,38 HIPP Pyr Grik4              
137698,-30.218548,13.134131,53 Unresolved                  
31856,6.3464026,-19.654142,53 Unresolved                  
29415,10.3175125,-27.8676,8 CTX PyrL4 Wnt5b              
11783,7.6804953,53.944794,64 Endothelia                  
112763,-7.2942524,-1.9415555,44 Migrating Int Lhx6          
96895,55.07243,1.7633961,28 CB Granule                  
63950,-43.38413,10.108435,53 Unresolved                  
114326,-7.6157722,-35.473892,53 Unresolved                  
121187,28.116985,57.75695,68 Astro Slc7a10               
104145,-19.850767,5.4459624,53 Unresolved                  
56278,-45.82452,1.8123012,53 Unresolved                  
46038,-49.132652,5.6500907,53 Unresolved                  
137120,33.72297,53.780834,68 Astro Slc7a10               
21486,50.584026,-1.9399455,28 CB Granule                  
82206,8.230245,0.722382,44 Migrating Int Lhx6          
161244,49.116158,-2.211422,28 CB Granule                  
79980,-3.4580266,-21.776043,53 Unresolved                  
26936,-48.096092,9.7360325,53 Unresolved                  
10232,18.76652,-19.295616,4 Medium Spiny Neurons         
37895,45.002655,6.531704,28 CB Granule                  
148983,14.647938,2.5191052,48 Migrating Int Pbx3          
50515,-22.231216,-13.726839,53 Unresolved                  
106347,-4.454206,-42.894493,17 CTX PyrL6                   
129306,-18.833525,-39.880116,11 CTX PyrL4/L5                
123507,3.0798156,-29.024494,37 HIPP Pyr Precursor          
40417,-6.1083307,-23.864672,53 Unresolved                  
117391,-1.685841,-43.939594,17 CTX PyrL6                   
51276,-24.390764,22.458784,53 Unresolved                  
96123,32.47159,51.827263,69 Astro Prdm16                
112074,41.758698,17.554022,25 CB Granule Precursor        
137722,-5.1553893,-4.4067526,53 Unresolved                  
76076,20.933268,46.282154,69 Astro Prdm16                
3884,-22.357718,-41.853905,34 SUB Pyr                     
23285,41.57738,-1.1180654,28 CB Granule                  
33768,-20.972713,-9.536096,53 Unresolved                  
63633,-12.7314625,-48.064823,15 CTX PyrL5/L6 Sulf1          
55214,37.3187,25.007866,25 CB Granule Precursor        
109907,-21.839027,-42.27951,53 Unresolved                  
95662,18.02122,-13.282198,4 Medium Spiny Neurons         
13458,-38.833084,16.540726,53 Unresolved                  
53694,54.06068,-0.58739626,28 CB Granule                  
117113,1.6657323,-28.863598,11 CTX PyrL4/L5                
75289,19.700182,0.88552463,48 Migrating Int Pbx3          
107709,-23.286963,12.904858,53 Unresolved                  
33780,24.9717,39.43534,53 Unresolved                  
62048,23.796349,-26.455559,4 Medium Spiny Neurons         
59648,25.044004,-25.655272,4 Medium Spiny Neurons         
91559,-24.371386,-49.920128,7 CTX PyrL2/L3 Met             
140294,43.03949,14.892243,28 CB Granule                  
27165,35.417576,54.247528,71 Bergmann Glia               
133923,37.728043,-1.9008324,53 Unresolved                  
38131,-22.477184,18.490856,53 Unresolved                  
89682,-27.096655,-49.20741,53 Unresolved                  
50295,20.305237,14.611216,26 CB Int Stellate/Basket      
92266,-42.444443,0.80513614,53 Unresolved                  
66870,-13.135137,-28.265352,11 CTX PyrL4/L5                
109360,-16.107967,-33.80899,14 CTX PyrL6a                  
102780,-38.724133,12.39561,53 Unresolved                  
153088,-20.948086,-15.303873,20 THAL Glut                   
99406,-14.899065,-1.551332,53 Unresolved                  
150107,-27.822464,15.732363,30 MD Glyc Int                 
31350,-12.305763,6.6992087,20 THAL Glut                   
58137,28.420212,53.302082,68 Astro Slc7a10               
67500,33.699615,26.840925,24 CB Int Progenitor           
149873,-25.64071,-36.163925,53 Unresolved                  
71401,38.499825,18.89927,25 CB Granule Precursor        
62970,-38.71195,-0.8462352,53 Unresolved                  
2023,-21.700468,-12.592143,53 Unresolved                  
73145,20.278746,51.602413,69 Astro Prdm16                
122563,25.074339,44.794636,69 Astro Prdm16                
131994,2.6333625,37.52597,61 OPC                         
4263,-2.634976,9.446317,53 Unresolved                  
10464,-30.22995,-36.33954,53 Unresolved                  
14928,-24.29697,-36.94426,40 HIPP Granule/PyrCA3         
28773,-8.079202,-16.33203,53 Unresolved                  
125806,-18.511074,-43.039715,4 Medium Spiny Neurons         
159540,-17.574167,-5.456617,53 Unresolved                  
5345,-43.451187,4.9311304,53 Unresolved                  
69038,-25.298046,-13.580474,53 Unresolved                  
105987,2.6811256,-29.78238,40 HIPP Granule/PyrCA3         
10960,37.85257,18.134405,25 CB Granule Precursor        
133291,4.179859,-39.02524,9 CTX PyrL2/L3/L4 Mef2c        
54925,-3.254076,37.43417,61 OPC                         
12447,17.94464,-17.495247,4 Medium Spiny Neurons         
63628,30.779676,-0.19739288,53 Unresolved                  
25258,-5.5220284,7.8609996,19 MTt Glut                    
142015,-27.419863,-24.092983,53 Unresolved                  
10460,-29.74422,3.20894,53 Unresolved                  
72517,54.43383,-4.791805,28 CB Granule                  
57306,19.432468,-19.910385,4 Medium Spiny Neurons         
21960,43.710846,7.994148,28 CB Granule                  
95227,33.472015,46.538795,69 Astro Prdm16                
137131,42.31236,14.313613,25 CB Granule Precursor        
62322,17.540905,47.2868,72 Ependyma                    
72650,-7.052617,15.330488,53 Unresolved                  
150044,42.205,8.150696,28 CB Granule                  
28731,-30.41027,19.285069,53 Unresolved                  
157805,34.74901,49.189922,68 Astro Slc7a10               
110520,-10.106514,-49.503098,17 CTX PyrL6                   
12383,-17.636913,-11.471696,17 CTX PyrL6                   
82365,-36.252384,1.0095342,53 Unresolved                  
127265,26.141548,-2.6252384,46 Migrating Int Cpa6          
146012,-17.688892,-12.394042,53 Unresolved                  
12305,-25.062664,16.048529,53 Unresolved                  
81929,31.327124,46.31362,53 Unresolved                  
102271,35.41773,58.711254,68 Astro Slc7a10               
18702,30.732222,38.105743,71 Bergmann Glia               
128387,-11.880182,-33.186108,11 CTX PyrL4/L5                
155776,-21.975607,14.483067,28 CB Granule                  
131600,10.280167,-28.331,9 CTX PyrL2/L3/L4 Mef2c        
97649,-7.6210337,51.7601,57 Oligo MOL                   
107846,-6.159591,43.486378,60 Oligo COP2                  
127444,-22.989805,0.38605207,53 Unresolved                  
141876,-16.183678,-0.8971045,20 THAL Glut                   
75201,45.370632,0.09087491,28 CB Granule                  
60942,-40.224762,4.2652216,53 Unresolved                  
45613,-11.568017,51.856834,56 Oligo MFOL1                 
21800,-11.631222,-49.517876,17 CTX PyrL6                   
22494,28.32604,48.160423,69 Astro Prdm16                
55773,3.1194978,1.3753324,44 Migrating Int Lhx6          
42912,-20.365469,7.1994476,53 Unresolved                  
98033,-12.949715,1.622189,53 Unresolved                  
162151,26.665516,1.4017502,46 Migrating Int Cpa6          
159580,-22.596441,22.10237,53 Unresolved                  
134899,-27.67659,0.013422331,53 Unresolved                  
102653,-42.996643,7.598246,53 Unresolved                  
67162,26.264906,46.843338,69 Astro Prdm16                
83789,35.338573,58.744015,68 Astro Slc7a10               
139809,-10.242858,-14.893256,20 THAL Glut                   
100658,16.06186,0.13548204,53 Unresolved                  
24149,-3.6519718,35.77518,59 Oligo COP1                  
129413,42.318306,6.784405,28 CB Granule                  
112183,-28.191744,-47.746616,7 CTX PyrL2/L3 Met             
77688,-13.774337,-29.54959,53 Unresolved                  
144683,-23.04257,-2.0202384,20 THAL Glut                   
81778,-3.3790114,-43.577484,17 CTX PyrL6                   
70278,29.900845,49.9913,68 Astro Slc7a10               
147271,40.753796,4.6586857,28 CB Granule                  
114746,25.840082,-22.671883,4 Medium Spiny Neurons         
22054,-12.604324,-7.6411004,53 Unresolved                  
105823,39.98429,16.730082,25 CB Granule Precursor        
132335,25.087126,53.956894,69 Astro Prdm16                
87458,-33.788486,-17.339422,53 Unresolved                  
127009,-1.0141658,-43.45119,17 CTX PyrL6                   
3894,-4.589102,35.990818,61 OPC                         
2155,1.3194,-0.6458575,44 Migrating Int Lhx6          
9729,3.52572,-29.721874,6 CTX PyrL2/L3/L4 Ntf3         
23794,-18.351023,-18.267046,53 Unresolved                  
51047,8.418187,-41.420246,9 CTX PyrL2/L3/L4 Mef2c        
73642,34.693714,29.109982,69 Astro Prdm16                
60395,-1.6666183,31.698973,61 OPC                         
123788,36.190353,51.546234,69 Astro Prdm16                
29376,-9.84736,51.185665,56 Oligo MFOL1                 
64919,-23.262255,-10.868174,53 Unresolved                  
99374,-2.6247253,-27.781288,40 HIPP Granule/PyrCA3         
74069,34.383972,50.58906,69 Astro Prdm16                
159169,-2.7089982,31.66804,61 OPC                         
115997,32.99002,54.661644,68 Astro Slc7a10               
24700,-9.655282,2.5773559,53 Unresolved                  
48376,32.109966,55.873955,68 Astro Slc7a10               
132173,16.91513,45.012573,73 OEC                         
22382,-6.2716312,-1.907667,53 Unresolved                  
107701,-17.76744,-24.960093,11 CTX PyrL4/L5                
114516,-6.8744116,51.803226,57 Oligo MOL                   
66885,-31.981821,-5.6800885,19 MTt Glut                    
74186,-11.686142,2.542531,53 Unresolved                  
71258,-24.560207,0.9083481,53 Unresolved                  
11936,-1.266646,34.08782,61 OPC                         
150825,50.756763,2.652,28 CB Granule                  
92436,-21.592491,-52.369274,9 CTX PyrL2/L3/L4 Mef2c        
154638,-39.820774,-5.227277,53 Unresolved                  
157442,-0.102404244,31.878239,61 OPC                         
120518,30.679644,38.55387,71 Bergmann Glia               
68710,-36.129566,-2.6912677,53 Unresolved                  
22056,9.9833145,0.92677087,44 Migrating Int Lhx6          
83539,31.229599,52.5161,68 Astro Slc7a10               
16631,-47.33519,11.582251,53 Unresolved                  
70929,-5.801331,7.697323,20 THAL Glut                   
106909,23.681805,-2.4448702,53 Unresolved                  
94042,27.439644,58.263412,71 Bergmann Glia               
134114,-34.39037,-41.56295,53 Unresolved                  
11886,-1.3071964,32.627342,61 OPC                         
14393,12.802948,0.24087137,49 Migrating Int Lgr6          
90395,-1.8331947,-6.558876,53 Unresolved                  
9780,-29.487604,-38.670593,53 Unresolved                  
92232,13.46719,-8.634907,4 Medium Spiny Neurons         
66886,8.314125,-6.7940826,53 Unresolved                  
51678,-35.684273,-6.778249,53 Unresolved                  
96644,-44.655045,10.324165,53 Unresolved                  
74427,-17.73077,7.7684565,53 Unresolved                  
89662,3.8085911,-6.2978544,53 Unresolved                  
60849,-20.413439,-5.525205,53 Unresolved                  
147572,-20.045628,-50.08364,10 CTX PyrL4 Rorb              
108540,24.490448,50.08952,69 Astro Prdm16                
23427,-0.68870866,-18.445786,53 Unresolved                  
23651,24.631645,-3.1098094,47 Migrating Int Foxp2         
135553,-48.492638,11.01534,53 Unresolved                  
98984,1.6027938,1.7073419,53 Unresolved                  
99966,-18.892284,-11.576915,53 Unresolved                  
32484,-3.4888487,1.2783912,44 Migrating Int Lhx6          
116230,9.884722,-17.591488,53 Unresolved                  
66038,-12.801805,-53.336353,61 OPC                         
150750,6.4804626,53.566372,68 Astro Slc7a10               
134661,-9.823133,-18.718637,53 Unresolved                  
82510,4.1431036,31.70622,28 CB Granule                  
45663,-15.974624,-24.560709,9 CTX PyrL2/L3/L4 Mef2c        
140067,22.373161,13.400893,28 CB Granule                  
88914,26.929419,1.0653259,53 Unresolved                  
117273,41.070076,-1.102834,28 CB Granule                  
121533,-5.729643,-20.93615,53 Unresolved                  
46143,39.93679,21.374996,25 CB Granule Precursor        
156450,-26.14475,-40.38125,53 Unresolved                  
121357,12.476374,57.10121,67 VLMC Slc47a1                
21444,-21.705238,-42.27665,53 Unresolved                  
84687,3.7249618,34.65909,61 OPC                         
156861,-1.553162,-42.453114,17 CTX PyrL6                   
12400,24.305923,-23.453875,4 Medium Spiny Neurons         
77679,-17.00498,-35.685307,53 Unresolved                  
152836,-10.945013,9.45267,53 Unresolved                  
96064,-4.1551194,-14.822061,53 Unresolved                  
44936,0.6408121,-40.62317,14 CTX PyrL6a                  
18411,-10.805163,-39.145584,53 Unresolved                  
28164,-5.1032395,37.189507,61 OPC                         
99961,49.201702,3.1944559,28 CB Granule                  
139455,40.13848,18.671404,25 CB Granule Precursor        
31118,39.659657,13.189405,25 CB Granule Precursor        
1851,-32.31703,12.294073,30 MD Glyc Int                 
22165,-27.51319,17.851166,53 Unresolved                  
58328,-10.577678,-49.811264,14 CTX PyrL6a                  
120336,-8.609981,-28.629887,53 Unresolved                  
6484,43.632904,11.158327,28 CB Granule                  
148237,27.752533,54.095375,68 Astro Slc7a10               
3480,41.7946,2.0355444,28 CB Granule                  
32435,44.977737,5.008268,28 CB Granule                  
16523,-31.811762,-12.764171,53 Unresolved                  
116936,-16.956512,-9.533747,53 Unresolved                  
64732,30.31657,59.29444,68 Astro Slc7a10               
46118,-25.888414,20.95916,53 Unresolved                  
54558,-21.34016,-52.135067,53 Unresolved                  
124367,-29.512283,-2.7859695,2 OB Mitral/Tufted Ms4a15      
68764,-3.1980557,-43.005863,16 CTX PyrL5/L6 Npr3           
1336,-24.773401,-19.009018,53 Unresolved                  
38417,-23.925419,-33.061974,38 HIPP Pyr Grik4              
88409,-32.04498,10.886585,19 MTt Glut                    
99957,25.556332,44.265884,69 Astro Prdm16                
109951,-18.03171,14.425848,53 Unresolved                  
76153,2.507887,-1.5791838,53 Unresolved                  
46415,-19.713127,-7.311208,53 Unresolved                  
114043,30.226217,16.52529,9 CTX PyrL2/L3/L4 Mef2c        
140088,-12.544985,-9.242544,53 Unresolved                  
63776,23.230469,0.30778402,46 Migrating Int Cpa6          
114185,-33.730175,6.6456885,53 Unresolved                  
125688,30.332901,55.60176,68 Astro Slc7a10               
146288,-18.679813,3.0480268,53 Unresolved                  
162333,22.755272,42.567734,69 Astro Prdm16                
37244,17.67936,-15.378634,4 Medium Spiny Neurons         
6273,-9.772098,-15.826941,20 THAL Glut                   
112406,-3.617455,-20.1445,7 CTX PyrL2/L3 Met             
1230,-32.09695,-10.037065,21 THAL Int Six3               
76740,-25.500854,21.413187,53 Unresolved                  
16530,-44.480244,13.637411,53 Unresolved                  
31826,-3.7456763,-35.572693,9 CTX PyrL2/L3/L4 Mef2c        
29858,-25.610271,-20.243793,38 HIPP Pyr Grik4              
118041,-41.462757,8.115832,53 Unresolved                  
142401,-19.780115,12.662896,53 Unresolved                  
147659,-13.066147,-39.792217,17 CTX PyrL6                   
40117,34.595585,53.151108,69 Astro Prdm16                
131329,9.00221,-20.277866,44 Migrating Int Lhx6          
150550,19.622496,44.179085,69 Astro Prdm16                
74418,-34.300728,-41.126213,53 Unresolved                  
53063,18.107096,-14.673531,4 Medium Spiny Neurons         
37147,31.28319,37.651264,71 Bergmann Glia               
43425,27.286417,-22.7057,4 Medium Spiny Neurons         
132705,-4.3921995,-22.603495,53 Unresolved                  
54199,-30.071573,14.677558,53 Unresolved                  
16133,-0.36259633,0.4657034,53 Unresolved                  
80888,4.057071,0.41221955,44 Migrating Int Lhx6          
52971,-42.535656,13.606498,53 Unresolved                  
3988,-13.897365,-1.001402,53 Unresolved                  
128035,-9.728963,-25.332155,53 Unresolved                  
89539,-31.53742,7.3913355,53 Unresolved                  
16929,29.755722,47.974945,69 Astro Prdm16                
60365,49.44561,-2.9506774,28 CB Granule                  
11855,-18.178701,10.090919,53 Unresolved                  
161021,2.8657413,-33.44759,6 CTX PyrL2/L3/L4 Ntf3         
39619,37.82834,4.7390585,45 Migrating Int Trdn          
135076,-10.311442,-0.15045536,20 THAL Glut                   
160625,-8.638487,-39.865158,53 Unresolved                  
55796,-29.201048,-37.518425,11 CTX PyrL4/L5                
83000,30.416582,2.8649821,53 Unresolved                  
18808,46.347504,0.33002546,28 CB Granule                  
78175,41.398487,9.760174,28 CB Granule                  
71419,2.9053657,-2.795758,44 Migrating Int Lhx6          
128152,-15.870681,4.243721,20 THAL Glut                   
125612,-46.71606,10.859795,53 Unresolved                  
72560,12.770607,-3.810247,9 CTX PyrL2/L3/L4 Mef2c        
59291,50.23512,8.841754,28 CB Granule                  
122551,-37.984615,11.726288,53 Unresolved                  
60436,-15.489672,-32.745953,35 HIPP Pyr Crym               
104260,0.8473139,-4.7684875,53 Unresolved                  
136462,-9.140097,-12.207143,20 THAL Glut                   
118765,37.785397,50.34515,69 Astro Prdm16                
128195,-19.878397,-54.920547,9 CTX PyrL2/L3/L4 Mef2c        
51769,-25.981056,5.8581667,53 Unresolved                  
6233,-28.966938,18.947847,53 Unresolved                  
44101,-25.069038,12.823937,19 MTt Glut                    
76376,2.4372685,-32.499977,9 CTX PyrL2/L3/L4 Mef2c        
151645,-28.863544,16.904428,53 Unresolved                  
122111,17.423464,1.6838145,48 Migrating Int Pbx3          
144562,-19.874022,-19.02729,53 Unresolved                  
92968,8.68966,0.8310554,44 Migrating Int Lhx6          
3918,-18.827131,-52.47316,6 CTX PyrL2/L3/L4 Ntf3         
151912,-4.501693,-0.32222483,44 Migrating Int Lhx6          
112198,-9.614267,-27.652338,53 Unresolved                  
40214,36.345272,-1.334571,53 Unresolved                  
11389,-29.017405,-6.178411,20 THAL Glut                   
134374,47.55349,7.8676486,28 CB Granule                  
85937,-7.8590727,-36.000957,53 Unresolved                  
139092,35.515705,52.87753,68 Astro Slc7a10               
3640,-0.20112257,-45.4485,17 CTX PyrL6                   
156401,-5.8181753,-15.894422,53 Unresolved                  
148432,1.1844286,35.406414,60 Oligo COP2                  
76664,-8.227792,47.332874,58 Oligo NFOL1                 
75452,34.267857,57.53625,68 Astro Slc7a10               
72067,-1.15161,12.206356,53 Unresolved                  
43357,28.503302,45.88662,69 Astro Prdm16                
58156,29.707512,54.46839,68 Astro Slc7a10               
113128,-9.255505,-37.330936,9 CTX PyrL2/L3/L4 Mef2c        
126521,-25.08266,0.07086961,53 Unresolved                  
138488,4.182527,1.0190268,44 Migrating Int Lhx6          
15617,26.318115,-25.540396,4 Medium Spiny Neurons         
80318,-26.401833,-50.06399,53 Unresolved                  
86327,-9.230152,-12.672057,53 Unresolved                  
4929,0.6131691,37.10694,61 OPC                         
142900,-45.110855,11.264122,53 Unresolved                  
11788,16.637846,2.7134216,36 HIPP Granule Mki67          
3955,-5.816239,-45.95651,16 CTX PyrL5/L6 Npr3           
148803,18.598299,46.598015,69 Astro Prdm16                
79630,12.636167,-10.483502,48 Migrating Int Pbx3          
59797,-14.359219,11.417948,53 Unresolved                  
18873,-6.4238834,44.265812,60 Oligo COP2                  
158117,-20.713009,-21.480951,53 Unresolved                  
132340,-15.384399,-4.8532968,53 Unresolved                  
32053,24.909903,49.763535,69 Astro Prdm16                
152273,5.559145,54.69754,63 Microglia                   
161447,-27.738213,-26.015257,53 Unresolved                  
36873,12.212011,-6.6526437,53 Unresolved                  
83406,50.180584,3.126745,28 CB Granule                  
97342,-26.366245,13.899718,53 Unresolved                  
24242,1.2375344,-7.084508,46 Migrating Int Cpa6          
133088,-1.6285732,-0.16984096,44 Migrating Int Lhx6          
111652,-16.055168,4.625937,53 Unresolved                  
83960,-32.367577,2.6169949,53 Unresolved                  
40223,-34.05584,-16.920204,53 Unresolved                  
154103,-1.795501,33.43362,61 OPC                         
23748,39.63471,25.096338,25 CB Granule Precursor        
51113,28.05739,-0.811849,53 Unresolved                  
155254,44.241455,5.5765557,28 CB Granule                  
130476,-1.9402001,43.08297,56 Oligo MFOL1                 
29423,48.27147,-3.0797255,28 CB Granule                  
148082,-39.958263,-7.080417,53 Unresolved                  
8262,10.593557,56.764725,67 VLMC Slc47a1                
69546,-45.76915,9.706963,53 Unresolved                  
20779,10.885845,-7.170625,53 Unresolved                  
151312,-36.62256,18.793915,53 Unresolved                  
132500,-30.823809,0.8078762,53 Unresolved                  
151486,-23.716005,20.28345,53 Unresolved                  
140850,-1.4966049,35.77623,61 OPC                         
10583,25.607187,-0.08071886,46 Migrating Int Cpa6          
155035,25.740816,-24.629599,4 Medium Spiny Neurons         
14266,-8.241817,-16.289963,53 Unresolved                  
8454,-26.364918,-10.078807,53 Unresolved                  
76261,-14.198574,4.040194,53 Unresolved                  
89452,19.190691,-16.592745,4 Medium Spiny Neurons         
58375,-7.5990467,-9.224467,53 Unresolved                  
99027,25.601587,-5.5350494,40 HIPP Granule/PyrCA3         
162536,4.9129825,22.502026,53 Unresolved                  
50539,6.9026756,56.318684,63 Microglia                   
45965,-11.717448,51.743473,57 Oligo MOL                   
85042,-8.302593,-13.140463,53 Unresolved                  
104100,-6.307172,-28.645166,53 Unresolved                  
89648,-34.046673,-8.155142,20 THAL Glut                   
62893,-34.465843,-9.678036,20 THAL Glut                   
86527,43.780437,1.638943,28 CB Granule                  
14951,6.2032967,55.15206,63 Microglia                   
62675,31.069208,55.323975,69 Astro Prdm16                
9773,-3.6884625,-41.996704,14 CTX PyrL6a                  
147184,6.1952386,-26.817842,37 HIPP Pyr Precursor          
95424,-18.858835,26.610542,53 Unresolved                  
113446,7.071815,-13.428233,53 Unresolved                  
25719,-17.364527,15.355298,53 Unresolved                  
144793,-12.74221,-30.703259,11 CTX PyrL4/L5                
113637,-24.409334,18.314873,53 Unresolved                  
22618,20.078625,-2.78488,49 Migrating Int Lgr6          
25068,-38.65848,-2.1480112,53 Unresolved                  
14217,-12.645974,-37.24638,53 Unresolved                  
