Health,batch,Location,Subject,Cluster,Count,Total,Other
Healthy,0,Epi,N8,Inflammatory Fibroblasts,0,932,932
Healthy,0,Epi,N8,Inflammatory Monocytes,0,932,932
Healthy,0,Epi,N8,M cells,2,932,930
Healthy,0,Epi,N8,MT-hi,0,932,932
Healthy,0,Epi,N8,Macrophages,0,932,932
Healthy,0,Epi,N8,Microvascular,0,932,932
Healthy,0,Epi,N8,Myofibroblasts,0,932,932
Healthy,0,Epi,N8,NKs,0,932,932
Healthy,0,Epi,N8,Pericytes,0,932,932
Healthy,0,Epi,N8,Plasma,0,932,932
Healthy,0,Epi,N8,Post-capillary Venules,0,932,932
Healthy,0,Epi,N8,RSPO3+,0,932,932
Healthy,0,Epi,N8,Secretory TA,72,932,860
Healthy,0,Epi,N8,Stem,12,932,920
Healthy,0,Epi,N8,TA 1,212,932,720
Healthy,0,Epi,N8,TA 2,117,932,815
Healthy,0,Epi,N8,Tregs,0,932,932
Healthy,0,Epi,N8,Tuft,7,932,925
Healthy,0,Epi,N8,WNT2B+ Fos-hi,0,932,932
Healthy,0,Epi,N8,WNT2B+ Fos-lo 1,0,932,932
Healthy,0,Epi,N8,WNT2B+ Fos-lo 2,0,932,932
Healthy,0,Epi,N8,WNT5B+ 1,0,932,932
Healthy,0,Epi,N8,WNT5B+ 2,0,932,932
Healthy,0,Epi,N9,Best4+ Enterocytes,0,0,0
Healthy,0,Epi,N9,CD4+ Activated Fos-hi,0,0,0
Healthy,0,Epi,N9,CD4+ Activated Fos-lo,0,0,0
Healthy,0,Epi,N9,CD4+ Memory,0,0,0
Healthy,0,Epi,N9,CD4+ PD1+,0,0,0
Healthy,0,Epi,N9,CD8+ IELs,0,0,0
Healthy,0,Epi,N9,CD8+ IL17+,0,0,0
Healthy,0,Epi,N9,CD8+ LP,0,0,0
Healthy,0,Epi,N9,CD69+ Mast,0,0,0
Healthy,0,Epi,N9,CD69- Mast,0,0,0
Healthy,0,Epi,N9,Cycling B,0,0,0
Healthy,0,Epi,N9,Cycling Monocytes,0,0,0
Healthy,0,Epi,N9,Cycling T,0,0,0
Healthy,0,Epi,N9,Cycling TA,0,0,0
Healthy,0,Epi,N9,DC1,0,0,0
Healthy,0,Epi,N9,DC2,0,0,0
Healthy,0,Epi,N9,Endothelial,0,0,0
Healthy,0,Epi,N9,Enterocyte Progenitors,0,0,0
Healthy,0,Epi,N9,Enterocytes,0,0,0
Healthy,0,Epi,N9,Enteroendocrine,0,0,0
Healthy,0,Epi,N9,Follicular,0,0,0
Healthy,0,Epi,N9,GC,0,0,0
Healthy,0,Epi,N9,Glia,0,0,0
Healthy,0,Epi,N9,Goblet,0,0,0
Healthy,0,Epi,N9,ILCs,0,0,0
Healthy,0,Epi,N9,Immature Enterocytes 1,0,0,0
Healthy,0,Epi,N9,Immature Enterocytes 2,0,0,0
Healthy,0,Epi,N9,Immature Goblet,0,0,0
Healthy,0,Epi,N9,Inflammatory Fibroblasts,0,0,0
Healthy,0,Epi,N9,Inflammatory Monocytes,0,0,0
Healthy,0,Epi,N9,M cells,0,0,0
Healthy,0,Epi,N9,MT-hi,0,0,0
Healthy,0,Epi,N9,Macrophages,0,0,0
Healthy,0,Epi,N9,Microvascular,0,0,0
Healthy,0,Epi,N9,Myofibroblasts,0,0,0
Healthy,0,Epi,N9,NKs,0,0,0
Healthy,0,Epi,N9,Pericytes,0,0,0
Healthy,0,Epi,N9,Plasma,0,0,0
Healthy,0,Epi,N9,Post-capillary Venules,0,0,0
Healthy,0,Epi,N9,RSPO3+,0,0,0
Healthy,0,Epi,N9,Secretory TA,0,0,0
Healthy,0,Epi,N9,Stem,0,0,0
Healthy,0,Epi,N9,TA 1,0,0,0
Healthy,0,Epi,N9,TA 2,0,0,0
Healthy,0,Epi,N9,Tregs,0,0,0
Healthy,0,Epi,N9,Tuft,0,0,0
Healthy,0,Epi,N9,WNT2B+ Fos-hi,0,0,0
Healthy,0,Epi,N9,WNT2B+ Fos-lo 1,0,0,0
Healthy,0,Epi,N9,WNT2B+ Fos-lo 2,0,0,0
Healthy,0,Epi,N9,WNT5B+ 1,0,0,0
Healthy,0,Epi,N9,WNT5B+ 2,0,0,0
Healthy,0,Epi,N10,Best4+ Enterocytes,257,6474,6217
Healthy,0,Epi,N10,CD4+ Activated Fos-hi,0,6474,6474
Healthy,0,Epi,N10,CD4+ Activated Fos-lo,0,6474,6474
Healthy,0,Epi,N10,CD4+ Memory,0,6474,6474
Healthy,0,Epi,N10,CD4+ PD1+,0,6474,6474
Healthy,0,Epi,N10,CD8+ IELs,0,6474,6474
Healthy,0,Epi,N10,CD8+ IL17+,0,6474,6474
Healthy,0,Epi,N10,CD8+ LP,0,6474,6474
Healthy,0,Epi,N10,CD69+ Mast,0,6474,6474
Healthy,0,Epi,N10,CD69- Mast,0,6474,6474
Healthy,0,Epi,N10,Cycling B,0,6474,6474
Healthy,0,Epi,N10,Cycling Monocytes,0,6474,6474
Healthy,0,Epi,N10,Cycling T,0,6474,6474
Healthy,0,Epi,N10,Cycling TA,1461,6474,5013
Healthy,0,Epi,N10,DC1,0,6474,6474
Healthy,0,Epi,N10,DC2,0,6474,6474
Healthy,0,Epi,N10,Endothelial,0,6474,6474
Healthy,0,Epi,N10,Enterocyte Progenitors,525,6474,5949
Healthy,0,Epi,N10,Enterocytes,412,6474,6062
Healthy,0,Epi,N10,Enteroendocrine,26,6474,6448
Healthy,0,Epi,N10,Follicular,0,6474,6474
Healthy,0,Epi,N10,GC,0,6474,6474
Healthy,0,Epi,N10,Glia,0,6474,6474
Healthy,0,Epi,N10,Goblet,162,6474,6312
Healthy,0,Epi,N10,ILCs,0,6474,6474
Healthy,0,Epi,N10,Immature Enterocytes 1,459,6474,6015
Healthy,0,Epi,N10,Immature Enterocytes 2,429,6474,6045
Healthy,0,Epi,N10,Immature Goblet,400,6474,6074
Healthy,0,Epi,N10,Inflammatory Fibroblasts,0,6474,6474
Healthy,0,Epi,N10,Inflammatory Monocytes,0,6474,6474
Healthy,0,Epi,N10,M cells,5,6474,6469
Healthy,0,Epi,N10,MT-hi,0,6474,6474
Healthy,0,Epi,N10,Macrophages,0,6474,6474
Healthy,0,Epi,N10,Microvascular,0,6474,6474
Healthy,0,Epi,N10,Myofibroblasts,0,6474,6474
Healthy,0,Epi,N10,NKs,0,6474,6474
Healthy,0,Epi,N10,Pericytes,0,6474,6474
Healthy,0,Epi,N10,Plasma,0,6474,6474
Healthy,0,Epi,N10,Post-capillary Venules,0,6474,6474
Healthy,0,Epi,N10,RSPO3+,0,6474,6474
Healthy,0,Epi,N10,Secretory TA,404,6474,6070
Healthy,0,Epi,N10,Stem,138,6474,6336
Healthy,0,Epi,N10,TA 1,913,6474,5561
Healthy,0,Epi,N10,TA 2,817,6474,5657
Healthy,0,Epi,N10,Tregs,0,6474,6474
Healthy,0,Epi,N10,Tuft,66,6474,6408
Healthy,0,Epi,N10,WNT2B+ Fos-hi,0,6474,6474
Healthy,0,Epi,N10,WNT2B+ Fos-lo 1,0,6474,6474
Healthy,0,Epi,N10,WNT2B+ Fos-lo 2,0,6474,6474
Healthy,0,Epi,N10,WNT5B+ 1,0,6474,6474
Healthy,0,Epi,N10,WNT5B+ 2,0,6474,6474
Healthy,0,Epi,N11,Best4+ Enterocytes,200,5180,4980
Healthy,0,Epi,N11,CD4+ Activated Fos-hi,0,5180,5180
Healthy,0,Epi,N11,CD4+ Activated Fos-lo,0,5180,5180
Healthy,0,Epi,N11,CD4+ Memory,0,5180,5180
Healthy,0,Epi,N11,CD4+ PD1+,0,5180,5180
Healthy,0,Epi,N11,CD8+ IELs,0,5180,5180
Healthy,0,Epi,N11,CD8+ IL17+,0,5180,5180
Healthy,0,Epi,N11,CD8+ LP,0,5180,5180
Healthy,0,Epi,N11,CD69+ Mast,0,5180,5180
Healthy,0,Epi,N11,CD69- Mast,0,5180,5180
Healthy,0,Epi,N11,Cycling B,0,5180,5180
Healthy,0,Epi,N11,Cycling Monocytes,0,5180,5180
Healthy,0,Epi,N11,Cycling T,0,5180,5180
Healthy,0,Epi,N11,Cycling TA,697,5180,4483
Healthy,0,Epi,N11,DC1,0,5180,5180
Healthy,0,Epi,N11,DC2,0,5180,5180
Healthy,0,Epi,N11,Endothelial,0,5180,5180
Healthy,0,Epi,N11,Enterocyte Progenitors,395,5180,4785
Healthy,0,Epi,N11,Enterocytes,86,5180,5094
Healthy,0,Epi,N11,Enteroendocrine,18,5180,5162
Healthy,0,Epi,N11,Follicular,0,5180,5180
Healthy,0,Epi,N11,GC,0,5180,5180
Healthy,0,Epi,N11,Glia,0,5180,5180
Healthy,0,Epi,N11,Goblet,191,5180,4989
Healthy,0,Epi,N11,ILCs,0,5180,5180
Healthy,0,Epi,N11,Immature Enterocytes 1,1157,5180,4023
Healthy,0,Epi,N11,Immature Enterocytes 2,547,5180,4633
Healthy,0,Epi,N11,Immature Goblet,248,5180,4932
Healthy,0,Epi,N11,Inflammatory Fibroblasts,0,5180,5180
Healthy,0,Epi,N11,Inflammatory Monocytes,0,5180,5180
Healthy,0,Epi,N11,M cells,0,5180,5180
Healthy,0,Epi,N11,MT-hi,0,5180,5180
Healthy,0,Epi,N11,Macrophages,0,5180,5180
Healthy,0,Epi,N11,Microvascular,0,5180,5180
Healthy,0,Epi,N11,Myofibroblasts,0,5180,5180
Healthy,0,Epi,N11,NKs,0,5180,5180
Healthy,0,Epi,N11,Pericytes,0,5180,5180
Healthy,0,Epi,N11,Plasma,0,5180,5180
Healthy,0,Epi,N11,Post-capillary Venules,0,5180,5180
Healthy,0,Epi,N11,RSPO3+,0,5180,5180
Healthy,0,Epi,N11,Secretory TA,222,5180,4958
Healthy,0,Epi,N11,Stem,125,5180,5055
Healthy,0,Epi,N11,TA 1,782,5180,4398
Healthy,0,Epi,N11,TA 2,458,5180,4722
Healthy,0,Epi,N11,Tregs,0,5180,5180
Healthy,0,Epi,N11,Tuft,54,5180,5126
Healthy,0,Epi,N11,WNT2B+ Fos-hi,0,5180,5180
Healthy,0,Epi,N11,WNT2B+ Fos-lo 1,0,5180,5180
Healthy,0,Epi,N11,WNT2B+ Fos-lo 2,0,5180,5180
Healthy,0,Epi,N11,WNT5B+ 1,0,5180,5180
Healthy,0,Epi,N11,WNT5B+ 2,0,5180,5180
Healthy,0,Epi,N12,Best4+ Enterocytes,0,0,0
Healthy,0,Epi,N12,CD4+ Activated Fos-hi,0,0,0
Healthy,0,Epi,N12,CD4+ Activated Fos-lo,0,0,0
Healthy,0,Epi,N12,CD4+ Memory,0,0,0
Healthy,0,Epi,N12,CD4+ PD1+,0,0,0
Healthy,0,Epi,N12,CD8+ IELs,0,0,0
Healthy,0,Epi,N12,CD8+ IL17+,0,0,0
Healthy,0,Epi,N12,CD8+ LP,0,0,0
Healthy,0,Epi,N12,CD69+ Mast,0,0,0
Healthy,0,Epi,N12,CD69- Mast,0,0,0
Healthy,0,Epi,N12,Cycling B,0,0,0
Healthy,0,Epi,N12,Cycling Monocytes,0,0,0
Healthy,0,Epi,N12,Cycling T,0,0,0
Healthy,0,Epi,N12,Cycling TA,0,0,0
Healthy,0,Epi,N12,DC1,0,0,0
Healthy,0,Epi,N12,DC2,0,0,0
Healthy,0,Epi,N12,Endothelial,0,0,0
Healthy,0,Epi,N12,Enterocyte Progenitors,0,0,0
Healthy,0,Epi,N12,Enterocytes,0,0,0
Healthy,0,Epi,N12,Enteroendocrine,0,0,0
Healthy,0,Epi,N12,Follicular,0,0,0
Healthy,0,Epi,N12,GC,0,0,0
Healthy,0,Epi,N12,Glia,0,0,0
Healthy,0,Epi,N12,Goblet,0,0,0
Healthy,0,Epi,N12,ILCs,0,0,0
Healthy,0,Epi,N12,Immature Enterocytes 1,0,0,0
Healthy,0,Epi,N12,Immature Enterocytes 2,0,0,0
Healthy,0,Epi,N12,Immature Goblet,0,0,0
Healthy,0,Epi,N12,Inflammatory Fibroblasts,0,0,0
Healthy,0,Epi,N12,Inflammatory Monocytes,0,0,0
Healthy,0,Epi,N12,M cells,0,0,0
Healthy,0,Epi,N12,MT-hi,0,0,0
Healthy,0,Epi,N12,Macrophages,0,0,0
Healthy,0,Epi,N12,Microvascular,0,0,0
Healthy,0,Epi,N12,Myofibroblasts,0,0,0
Healthy,0,Epi,N12,NKs,0,0,0
Healthy,0,Epi,N12,Pericytes,0,0,0
Healthy,0,Epi,N12,Plasma,0,0,0
Healthy,0,Epi,N12,Post-capillary Venules,0,0,0
Healthy,0,Epi,N12,RSPO3+,0,0,0
Healthy,0,Epi,N12,Secretory TA,0,0,0
Healthy,0,Epi,N12,Stem,0,0,0
Healthy,0,Epi,N12,TA 1,0,0,0
Healthy,0,Epi,N12,TA 2,0,0,0
Healthy,0,Epi,N12,Tregs,0,0,0
Healthy,0,Epi,N12,Tuft,0,0,0
Healthy,0,Epi,N12,WNT2B+ Fos-hi,0,0,0
Healthy,0,Epi,N12,WNT2B+ Fos-lo 1,0,0,0
Healthy,0,Epi,N12,WNT2B+ Fos-lo 2,0,0,0
Healthy,0,Epi,N12,WNT5B+ 1,0,0,0
Healthy,0,Epi,N12,WNT5B+ 2,0,0,0
Healthy,0,Epi,N13,Best4+ Enterocytes,2,777,775
Healthy,0,Epi,N13,CD4+ Activated Fos-hi,0,777,777
Healthy,0,Epi,N13,CD4+ Activated Fos-lo,0,777,777
Healthy,0,Epi,N13,CD4+ Memory,0,777,777
Healthy,0,Epi,N13,CD4+ PD1+,0,777,777
Healthy,0,Epi,N13,CD8+ IELs,0,777,777
Healthy,0,Epi,N13,CD8+ IL17+,0,777,777
Healthy,0,Epi,N13,CD8+ LP,0,777,777
Healthy,0,Epi,N13,CD69+ Mast,0,777,777
Healthy,0,Epi,N13,CD69- Mast,0,777,777
Healthy,0,Epi,N13,Cycling B,0,777,777
Healthy,0,Epi,N13,Cycling Monocytes,0,777,777
Healthy,0,Epi,N13,Cycling T,0,777,777
Healthy,0,Epi,N13,Cycling TA,96,777,681
Healthy,0,Epi,N13,DC1,0,777,777
Healthy,0,Epi,N13,DC2,0,777,777
Healthy,0,Epi,N13,Endothelial,0,777,777
Healthy,0,Epi,N13,Enterocyte Progenitors,117,777,660
Healthy,0,Epi,N13,Enterocytes,27,777,750
Healthy,0,Epi,N13,Enteroendocrine,1,777,776
Healthy,0,Epi,N13,Follicular,0,777,777
Healthy,0,Epi,N13,GC,0,777,777
Healthy,0,Epi,N13,Glia,0,777,777
Healthy,0,Epi,N13,Goblet,6,777,771
Healthy,0,Epi,N13,ILCs,0,777,777
Healthy,0,Epi,N13,Immature Enterocytes 1,48,777,729
Healthy,0,Epi,N13,Immature Enterocytes 2,80,777,697
Healthy,0,Epi,N13,Immature Goblet,52,777,725
Healthy,0,Epi,N13,Inflammatory Fibroblasts,0,777,777
Healthy,0,Epi,N13,Inflammatory Monocytes,0,777,777
Healthy,0,Epi,N13,M cells,0,777,777
Healthy,0,Epi,N13,MT-hi,0,777,777
Healthy,0,Epi,N13,Macrophages,0,777,777
Healthy,0,Epi,N13,Microvascular,0,777,777
Healthy,0,Epi,N13,Myofibroblasts,0,777,777
Healthy,0,Epi,N13,NKs,0,777,777
Healthy,0,Epi,N13,Pericytes,0,777,777
Healthy,0,Epi,N13,Plasma,0,777,777
Healthy,0,Epi,N13,Post-capillary Venules,0,777,777
Healthy,0,Epi,N13,RSPO3+,0,777,777
Healthy,0,Epi,N13,Secretory TA,31,777,746
Healthy,0,Epi,N13,Stem,9,777,768
Healthy,0,Epi,N13,TA 1,184,777,593
Healthy,0,Epi,N13,TA 2,123,777,654
Healthy,0,Epi,N13,Tregs,0,777,777
Healthy,0,Epi,N13,Tuft,1,777,776
Healthy,0,Epi,N13,WNT2B+ Fos-hi,0,777,777
Healthy,0,Epi,N13,WNT2B+ Fos-lo 1,0,777,777
Healthy,0,Epi,N13,WNT2B+ Fos-lo 2,0,777,777
Healthy,0,Epi,N13,WNT5B+ 1,0,777,777
Healthy,0,Epi,N13,WNT5B+ 2,0,777,777
Healthy,0,Epi,N14,Best4+ Enterocytes,0,0,0
Healthy,0,Epi,N14,CD4+ Activated Fos-hi,0,0,0
Healthy,0,Epi,N14,CD4+ Activated Fos-lo,0,0,0
Healthy,0,Epi,N14,CD4+ Memory,0,0,0
Healthy,0,Epi,N14,CD4+ PD1+,0,0,0
Healthy,0,Epi,N14,CD8+ IELs,0,0,0
Healthy,0,Epi,N14,CD8+ IL17+,0,0,0
Healthy,0,Epi,N14,CD8+ LP,0,0,0
Healthy,0,Epi,N14,CD69+ Mast,0,0,0
Healthy,0,Epi,N14,CD69- Mast,0,0,0
Healthy,0,Epi,N14,Cycling B,0,0,0
Healthy,0,Epi,N14,Cycling Monocytes,0,0,0
Healthy,0,Epi,N14,Cycling T,0,0,0
Healthy,0,Epi,N14,Cycling TA,0,0,0
Healthy,0,Epi,N14,DC1,0,0,0
Healthy,0,Epi,N14,DC2,0,0,0
Healthy,0,Epi,N14,Endothelial,0,0,0
Healthy,0,Epi,N14,Enterocyte Progenitors,0,0,0
Healthy,0,Epi,N14,Enterocytes,0,0,0
Healthy,0,Epi,N14,Enteroendocrine,0,0,0
Healthy,0,Epi,N14,Follicular,0,0,0
Healthy,0,Epi,N14,GC,0,0,0
Healthy,0,Epi,N14,Glia,0,0,0
Healthy,0,Epi,N14,Goblet,0,0,0
Healthy,0,Epi,N14,ILCs,0,0,0
Healthy,0,Epi,N14,Immature Enterocytes 1,0,0,0
Healthy,0,Epi,N14,Immature Enterocytes 2,0,0,0
Healthy,0,Epi,N14,Immature Goblet,0,0,0
Healthy,0,Epi,N14,Inflammatory Fibroblasts,0,0,0
Healthy,0,Epi,N14,Inflammatory Monocytes,0,0,0
Healthy,0,Epi,N14,M cells,0,0,0
Healthy,0,Epi,N14,MT-hi,0,0,0
Healthy,0,Epi,N14,Macrophages,0,0,0
Healthy,0,Epi,N14,Microvascular,0,0,0
Healthy,0,Epi,N14,Myofibroblasts,0,0,0
Healthy,0,Epi,N14,NKs,0,0,0
Healthy,0,Epi,N14,Pericytes,0,0,0
Healthy,0,Epi,N14,Plasma,0,0,0
Healthy,0,Epi,N14,Post-capillary Venules,0,0,0
Healthy,0,Epi,N14,RSPO3+,0,0,0
Healthy,0,Epi,N14,Secretory TA,0,0,0
Healthy,0,Epi,N14,Stem,0,0,0
Healthy,0,Epi,N14,TA 1,0,0,0
Healthy,0,Epi,N14,TA 2,0,0,0
Healthy,0,Epi,N14,Tregs,0,0,0
Healthy,0,Epi,N14,Tuft,0,0,0
Healthy,0,Epi,N14,WNT2B+ Fos-hi,0,0,0
Healthy,0,Epi,N14,WNT2B+ Fos-lo 1,0,0,0
Healthy,0,Epi,N14,WNT2B+ Fos-lo 2,0,0,0
Healthy,0,Epi,N14,WNT5B+ 1,0,0,0
Healthy,0,Epi,N14,WNT5B+ 2,0,0,0
Healthy,0,Epi,N15,Best4+ Enterocytes,121,6015,5894
Healthy,0,Epi,N15,CD4+ Activated Fos-hi,0,6015,6015
Healthy,0,Epi,N15,CD4+ Activated Fos-lo,0,6015,6015
Healthy,0,Epi,N15,CD4+ Memory,0,6015,6015
Healthy,0,Epi,N15,CD4+ PD1+,0,6015,6015
Healthy,0,Epi,N15,CD8+ IELs,0,6015,6015
Healthy,0,Epi,N15,CD8+ IL17+,0,6015,6015
Healthy,0,Epi,N15,CD8+ LP,0,6015,6015
Healthy,0,Epi,N15,CD69+ Mast,0,6015,6015
Healthy,0,Epi,N15,CD69- Mast,0,6015,6015
Healthy,0,Epi,N15,Cycling B,0,6015,6015
Healthy,0,Epi,N15,Cycling Monocytes,0,6015,6015
Healthy,0,Epi,N15,Cycling T,0,6015,6015
Healthy,0,Epi,N15,Cycling TA,812,6015,5203
Healthy,0,Epi,N15,DC1,0,6015,6015
Healthy,0,Epi,N15,DC2,0,6015,6015
Healthy,0,Epi,N15,Endothelial,0,6015,6015
Healthy,0,Epi,N15,Enterocyte Progenitors,739,6015,5276
Healthy,0,Epi,N15,Enterocytes,476,6015,5539
Healthy,0,Epi,N15,Enteroendocrine,19,6015,5996
Healthy,0,Epi,N15,Follicular,0,6015,6015
Healthy,0,Epi,N15,GC,0,6015,6015
Healthy,0,Epi,N15,Glia,0,6015,6015
Healthy,0,Epi,N15,Goblet,58,6015,5957
Healthy,0,Epi,N15,ILCs,0,6015,6015
Healthy,0,Epi,N15,Immature Enterocytes 1,217,6015,5798
Healthy,0,Epi,N15,Immature Enterocytes 2,568,6015,5447
Healthy,0,Epi,N15,Immature Goblet,496,6015,5519
Healthy,0,Epi,N15,Inflammatory Fibroblasts,0,6015,6015
Healthy,0,Epi,N15,Inflammatory Monocytes,0,6015,6015
Healthy,0,Epi,N15,M cells,3,6015,6012
Healthy,0,Epi,N15,MT-hi,0,6015,6015
Healthy,0,Epi,N15,Macrophages,0,6015,6015
Healthy,0,Epi,N15,Microvascular,0,6015,6015
Healthy,0,Epi,N15,Myofibroblasts,0,6015,6015
Healthy,0,Epi,N15,NKs,0,6015,6015
Healthy,0,Epi,N15,Pericytes,0,6015,6015
Healthy,0,Epi,N15,Plasma,0,6015,6015
Healthy,0,Epi,N15,Post-capillary Venules,0,6015,6015
Healthy,0,Epi,N15,RSPO3+,0,6015,6015
Healthy,0,Epi,N15,Secretory TA,290,6015,5725
Healthy,0,Epi,N15,Stem,76,6015,5939
Healthy,0,Epi,N15,TA 1,1511,6015,4504
Healthy,0,Epi,N15,TA 2,601,6015,5414
Healthy,0,Epi,N15,Tregs,0,6015,6015
Healthy,0,Epi,N15,Tuft,28,6015,5987
Healthy,0,Epi,N15,WNT2B+ Fos-hi,0,6015,6015
Healthy,0,Epi,N15,WNT2B+ Fos-lo 1,0,6015,6015
Healthy,0,Epi,N15,WNT2B+ Fos-lo 2,0,6015,6015
Healthy,0,Epi,N15,WNT5B+ 1,0,6015,6015
Healthy,0,Epi,N15,WNT5B+ 2,0,6015,6015
Healthy,0,Epi,N16,Best4+ Enterocytes,75,2536,2461
Healthy,0,Epi,N16,CD4+ Activated Fos-hi,0,2536,2536
Healthy,0,Epi,N16,CD4+ Activated Fos-lo,0,2536,2536
Healthy,0,Epi,N16,CD4+ Memory,0,2536,2536
Healthy,0,Epi,N16,CD4+ PD1+,0,2536,2536
Healthy,0,Epi,N16,CD8+ IELs,0,2536,2536
Healthy,0,Epi,N16,CD8+ IL17+,0,2536,2536
Healthy,0,Epi,N16,CD8+ LP,0,2536,2536
Healthy,0,Epi,N16,CD69+ Mast,0,2536,2536
Healthy,0,Epi,N16,CD69- Mast,0,2536,2536
Healthy,0,Epi,N16,Cycling B,0,2536,2536
Healthy,0,Epi,N16,Cycling Monocytes,0,2536,2536
Healthy,0,Epi,N16,Cycling T,0,2536,2536
Healthy,0,Epi,N16,Cycling TA,406,2536,2130
Healthy,0,Epi,N16,DC1,0,2536,2536
Healthy,0,Epi,N16,DC2,0,2536,2536
Healthy,0,Epi,N16,Endothelial,0,2536,2536
Healthy,0,Epi,N16,Enterocyte Progenitors,235,2536,2301
Healthy,0,Epi,N16,Enterocytes,212,2536,2324
Healthy,0,Epi,N16,Enteroendocrine,10,2536,2526
Healthy,0,Epi,N16,Follicular,0,2536,2536
Healthy,0,Epi,N16,GC,0,2536,2536
Healthy,0,Epi,N16,Glia,0,2536,2536
